x	y
513.6	910.5
510.1	911.8
510.1	912.8
510.1	914.7
510.1	914.9
509.9	915.9
509.4	915.9
509.5	915.9
509.2	915.9
509.1	915.9
509.1	915.8
509.1	915.8
509.2	915.9
509.1	915.9
509.1	915.9
509.1	915.9
509.1	915.9
509.1	915.9
509.1	915.9
509.1	915.9
509.1	915.9
509.1	915.9
509.3	915.9
509.1	915.9
509.1	915.8
509.1	915.8
509.1	915.9
509.1	915.8
509.1	915.8
509.1	915.8
509.1	915.7
509.1	915.9
509.1	915.6
509.1	915.6
509.1	915.8
509.1	915.6
509.1	915.5
509.1	915.4
509.1	914.9
510.0	912.9
512.6	869.7
511.1	870.7
510.1	870.8
510.1	870.9
510.1	870.9
510.1	870.8
510.1	871.1
510.1	871.1
510.1	871.0
510.1	871.2
510.1	870.9
510.1	870.9
510.1	871.1
510.1	870.9
510.1	871.1
509.9	871.5
510.1	871.7
510.0	871.8
510.0	871.8
510.0	871.8
510.0	871.9
509.7	871.9
509.4	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.8
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.8
509.2	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.1	871.9
509.9	871.9
510.1	871.9
510.1	821.7
509.2	822.3
509.1	822.7
509.1	822.7
509.0	822.7
508.2	822.8
508.1	822.7
508.1	822.8
507.9	822.8
508.1	822.9
508.1	822.9
508.1	822.9
508.1	822.9
508.1	822.9
508.1	822.9
508.1	822.9
508.1	822.9
508.0	822.9
508.1	822.9
508.1	822.8
508.0	822.8
508.1	822.9
508.1	822.9
508.0	822.9
508.1	822.9
508.1	822.9
508.1	822.9
508.1	822.9
508.0	822.9
508.0	822.8
508.0	822.7
508.1	822.6
508.0	822.4
508.0	821.9
508.0	821.9
508.1	821.9
508.2	821.9
508.1	821.9
508.0	821.9
508.0	821.9
508.0	821.9
508.1	821.9
508.0	821.9
508.0	821.9
508.1	821.9
508.1	821.9
508.0	821.9
508.0	821.9
508.1	821.9
508.0	821.9
508.1	821.9
508.1	821.9
508.0	821.9
508.1	821.9
508.1	821.9
508.0	821.9
508.1	821.9
508.1	821.9
508.0	821.9
508.0	821.9
508.1	821.9
508.1	821.9
