x	y
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.6
499.0	510.8
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.7
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.3
499.0	510.6
499.0	510.5
499.0	510.8
499.0	510.9
499.0	510.7
499.0	510.8
499.0	510.7
499.0	510.9
499.0	510.7
499.0	510.9
499.0	510.7
499.0	510.9
499.0	510.6
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.7
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.8
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
499.0	510.9
