x	y
513.1	517.7
513.1	517.7
513.1	517.7
513.0	517.8
513.0	517.7
512.9	517.3
512.1	517.0
512.1	517.0
512.1	516.9
512.1	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.6
512.0	516.3
512.0	516.1
511.9	516.0
512.0	516.0
511.9	516.0
511.7	516.0
511.5	516.0
511.4	515.9
511.2	516.0
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.0	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	515.9
511.1	516.0
511.0	516.0
511.0	516.0
511.1	516.0
511.1	516.0
511.1	516.0
511.1	516.0
511.5	516.0
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.5	517.9
511.4	514.9
511.1	514.9
511.1	514.9
511.1	514.9
510.9	514.9
511.1	514.9
511.1	514.9
511.0	514.9
511.0	514.9
511.0	514.9
511.0	514.9
511.0	514.9
511.0	514.9
511.0	514.9
511.0	514.9
511.0	514.9
510.7	514.9
510.5	514.9
510.4	514.9
510.1	514.6
510.1	514.0
510.1	514.0
510.1	513.9
510.1	513.9
510.1	513.9
510.0	513.9
510.1	513.9
510.1	513.9
510.1	513.9
510.1	513.9
510.1	513.9
510.1	513.9
510.1	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	514.0
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.0	513.9
510.1	513.9
510.1	513.9
510.1	513.9
510.6	513.9
511.0	513.9
511.0	514.1
511.0	514.9
511.1	514.9
511.1	514.9
513.2	517.9
513.0	517.9
513.0	517.9
512.1	517.9
512.1	517.9
512.1	517.9
512.1	517.9
512.0	517.9
512.1	517.9
512.0	517.5
512.0	517.3
512.0	517.1
512.0	516.9
512.0	516.9
512.0	517.0
512.1	516.9
512.1	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
511.9	516.9
512.0	516.9
511.9	516.9
511.9	516.9
511.7	516.9
511.7	516.9
511.3	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.1	516.9
511.2	516.9
511.2	516.9
511.8	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	516.9
512.0	517.2
512.0	517.9
512.1	517.9
513.1	518.9
512.1	518.9
512.1	518.9
512.1	518.9
512.1	518.9
512.0	518.9
512.1	518.9
512.1	518.9
512.0	518.9
512.0	518.9
512.0	518.9
512.0	518.9
512.0	518.9
512.0	518.9
512.0	518.9
512.0	518.9
512.0	518.9
512.0	518.8
512.0	518.6
511.7	518.0
511.3	518.0
511.3	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.0	517.9
511.1	517.9
511.1	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.1	517.9
511.1	517.9
511.0	517.9
511.1	517.9
511.1	517.9
511.3	517.9
512.0	518.2
512.0	518.9
512.0	518.9
512.1	518.9
511.3	517.9
511.1	517.9
511.1	517.9
511.1	517.9
511.2	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.9
511.0	517.1
510.8	517.0
510.3	516.9
510.3	517.0
510.1	516.9
510.1	516.9
510.1	516.9
510.1	516.9
510.1	516.9
510.1	516.9
510.1	516.9
510.1	516.9
510.0	516.9
510.1	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
510.1	516.9
510.0	516.9
510.1	516.9
510.1	516.9
510.1	516.9
510.5	517.1
510.9	517.5
511.0	517.9
511.0	517.9
511.1	517.9
511.1	515.9
511.1	515.9
510.9	515.9
511.0	515.9
511.0	515.9
510.1	515.9
510.1	515.9
510.1	515.9
510.1	515.9
510.1	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	515.9
509.5	515.9
509.1	515.9
509.0	515.9
509.1	515.9
509.1	515.9
509.0	515.9
509.1	515.9
509.1	515.9
509.0	515.9
509.0	515.9
509.0	515.9
509.0	515.8
509.0	515.4
509.0	515.6
509.0	515.2
509.0	515.0
509.0	515.0
509.0	515.0
509.0	515.0
509.0	515.0
509.0	515.0
509.0	515.0
509.0	515.0
509.0	515.0
509.0	515.2
509.0	515.9
509.1	515.9
509.0	515.9
509.1	515.9
509.0	515.9
509.1	515.9
509.5	515.9
510.0	515.9
510.0	515.9
510.0	515.9
510.0	516.9
510.2	516.9
511.3	517.9
511.1	517.9
511.0	517.9
511.1	517.9
511.0	517.9
511.0	517.9
511.1	517.9
511.0	517.9
511.0	517.9
510.6	517.9
510.1	517.9
510.1	517.9
510.1	517.9
510.1	517.9
510.0	517.9
510.1	517.9
510.0	517.9
510.0	517.9
510.0	517.5
510.0	517.3
510.0	517.0
510.0	517.0
510.0	517.0
510.0	517.0
510.0	516.9
510.0	517.0
510.0	517.0
510.0	517.0
510.0	516.9
510.0	516.9
510.0	516.9
510.0	516.9
509.9	516.9
509.7	516.9
509.9	516.9
509.3	516.9
509.5	516.9
509.5	516.9
509.4	516.9
509.1	516.9
509.1	516.9
509.3	516.9
509.4	516.9
509.3	516.9
